etape,controle,statut,bloquant,attendu,observe
argent,unicite_id_annonce,OK,True,aucun identifiant d'annonce en double,0 identifiant(s) en double
argent,cles_non_nulles,OK,True,id_annonce et date_parution toujours renseignes,0 ligne(s) incompletes
argent,type_evenement_dans_le_vocabulaire,OK,True,types parmi 14 valeurs connues,0 type(s) hors vocabulaire
argent,partition_homogene,OK,True,toutes les lignes portent la date de parution 2026-09-22,0 autre(s) date(s) dans la partition
argent,perimetre_departemental,OK,True,tous les codes commune commencent par 34,0 ligne(s) hors perimetre
argent,volumetrie_dans_la_norme,OK,True,"entre 106 et 1700 annonces (mediane 425 sur 60 jours, facteur 4)",475 annonces
argent,fraicheur_source,OK,True,derniere parution a moins de 5 jours de la date traitee,-1 jour(s) d'ecart (derniere parution 2026-09-23)
argent,rapprochement_communes,OK,True,au moins 95% des annonces rattachees a une commune du referentiel,99.79% (474/475)
argent,presence_siren,OK,False,au moins 90% des annonces portent un SIREN valide (cle de Luhn),100.00% (475/475)
or,grain_or_unique,OK,True,"une seule ligne par (jour, commune, section NAF)",0 cle(s) en double
or,conservation_argent_vers_or,OK,True,475 evenements agreges,475 evenements dans la couche or
or,coherence_solde_net,OK,True,solde_net = creations + immatriculations - radiations - liquidations,0 ligne(s) incoherentes
or,compteurs_positifs,OK,True,tous les compteurs nb_* sont positifs ou nuls,0 valeur(s) negatives
or,couverture_naf,OK,False,au moins 50% des evenements rattaches a une section NAF,81.26% (386/475)
